category,item,status,source_path,archive_path,commit,notes
changes,CHANGE-001-langgraph-基础框架,archived,.harness/changes/CHANGE-001-langgraph-基础框架/01-需求分析.md,archive/changes/CHANGE-001-langgraph-基础框架/01-需求分析.md,02fcb98,
changes,CHANGE-001-langgraph-基础框架,archived,.harness/changes/CHANGE-001-langgraph-基础框架/02-技术设计.md,archive/changes/CHANGE-001-langgraph-基础框架/02-技术设计.md,02fcb98,
changes,CHANGE-001-langgraph-基础框架,archived,.harness/changes/CHANGE-001-langgraph-基础框架/03-编码计划.md,archive/changes/CHANGE-001-langgraph-基础框架/03-编码计划.md,02fcb98,
changes,CHANGE-001-langgraph-基础框架,archived,.harness/changes/CHANGE-001-langgraph-基础框架/04-编码报告-v1.md,archive/changes/CHANGE-001-langgraph-基础框架/04-编码报告-v1.md,02fcb98,
changes,CHANGE-001-langgraph-基础框架,archived,.harness/changes/CHANGE-001-langgraph-基础框架/05-代码检查报告-v1.md,archive/changes/CHANGE-001-langgraph-基础框架/05-代码检查报告-v1.md,02fcb98,
changes,CHANGE-001-langgraph-基础框架,archived,.harness/changes/CHANGE-001-langgraph-基础框架/05-代码检查报告-v2.md,archive/changes/CHANGE-001-langgraph-基础框架/05-代码检查报告-v2.md,02fcb98,
changes,CHANGE-001-langgraph-基础框架,archived,.harness/changes/CHANGE-001-langgraph-基础框架/06-专家评审报告-v1.md,archive/changes/CHANGE-001-langgraph-基础框架/06-专家评审报告-v1.md,02fcb98,
changes,CHANGE-001-langgraph-基础框架,archived,.harness/changes/CHANGE-001-langgraph-基础框架/07-单元测试报告-v1.md,archive/changes/CHANGE-001-langgraph-基础框架/07-单元测试报告-v1.md,02fcb98,
changes,CHANGE-001-langgraph-基础框架,archived,.harness/changes/CHANGE-001-langgraph-基础框架/08-集成测试报告-v1.md,archive/changes/CHANGE-001-langgraph-基础框架/08-集成测试报告-v1.md,02fcb98,
changes,CHANGE-001-langgraph-基础框架,archived,.harness/changes/CHANGE-001-langgraph-基础框架/09-CI验证报告-v1.md,archive/changes/CHANGE-001-langgraph-基础框架/09-CI验证报告-v1.md,02fcb98,
changes,CHANGE-001-langgraph-基础框架,archived,.harness/changes/CHANGE-001-langgraph-基础框架/10-部署验证报告-v1.md,archive/changes/CHANGE-001-langgraph-基础框架/10-部署验证报告-v1.md,02fcb98,
changes,CHANGE-001-langgraph-基础框架,archived,.harness/changes/CHANGE-001-langgraph-基础框架/summary.md,archive/changes/CHANGE-001-langgraph-基础框架/summary.md,02fcb98,
changes,CHANGE-002-deepseek-api集成,archived,.harness/changes/CHANGE-002-deepseek-api集成/01-需求分析.md,archive/changes/CHANGE-002-deepseek-api集成/01-需求分析.md,02fcb98,
changes,CHANGE-002-deepseek-api集成,archived,.harness/changes/CHANGE-002-deepseek-api集成/02-技术设计.md,archive/changes/CHANGE-002-deepseek-api集成/02-技术设计.md,02fcb98,
changes,CHANGE-002-deepseek-api集成,archived,.harness/changes/CHANGE-002-deepseek-api集成/03-编码计划.md,archive/changes/CHANGE-002-deepseek-api集成/03-编码计划.md,02fcb98,
changes,CHANGE-002-deepseek-api集成,archived,.harness/changes/CHANGE-002-deepseek-api集成/06-专家评审报告.md,archive/changes/CHANGE-002-deepseek-api集成/06-专家评审报告.md,02fcb98,
changes,CHANGE-002-deepseek-api集成,archived,.harness/changes/CHANGE-002-deepseek-api集成/07-问题修复报告.md,archive/changes/CHANGE-002-deepseek-api集成/07-问题修复报告.md,02fcb98,
changes,CHANGE-002-deepseek-api集成,archived,.harness/changes/CHANGE-002-deepseek-api集成/08-集成测试报告.md,archive/changes/CHANGE-002-deepseek-api集成/08-集成测试报告.md,02fcb98,
changes,CHANGE-002-deepseek-api集成,archived,.harness/changes/CHANGE-002-deepseek-api集成/09-CI验证报告.md,archive/changes/CHANGE-002-deepseek-api集成/09-CI验证报告.md,02fcb98,
changes,CHANGE-002-deepseek-api集成,archived,.harness/changes/CHANGE-002-deepseek-api集成/10-部署验证报告.md,archive/changes/CHANGE-002-deepseek-api集成/10-部署验证报告.md,02fcb98,
changes,CHANGE-002-deepseek-api集成,archived,.harness/changes/CHANGE-002-deepseek-api集成/11-最终交付文档.md,archive/changes/CHANGE-002-deepseek-api集成/11-最终交付文档.md,02fcb98,
changes,CHANGE-002-deepseek-api集成,archived,.harness/changes/CHANGE-002-deepseek-api集成/summary.md,archive/changes/CHANGE-002-deepseek-api集成/summary.md,02fcb98,
changes,CHANGE-003-web-api,archived,.harness/changes/CHANGE-003-web-api/01-需求分析.md,archive/changes/CHANGE-003-web-api/01-需求分析.md,37e475f,
changes,CHANGE-003-web-api,archived,.harness/changes/CHANGE-003-web-api/02-技术设计.md,archive/changes/CHANGE-003-web-api/02-技术设计.md,37e475f,
changes,CHANGE-003-web-api,archived,.harness/changes/CHANGE-003-web-api/03-编码计划.md,archive/changes/CHANGE-003-web-api/03-编码计划.md,37e475f,
changes,CHANGE-003-web-api,archived,.harness/changes/CHANGE-003-web-api/04-编码报告-v1.md,archive/changes/CHANGE-003-web-api/04-编码报告-v1.md,37e475f,
changes,CHANGE-003-web-api,archived,.harness/changes/CHANGE-003-web-api/05-代码检查报告-v1.md,archive/changes/CHANGE-003-web-api/05-代码检查报告-v1.md,37e475f,
changes,CHANGE-003-web-api,archived,.harness/changes/CHANGE-003-web-api/06-专家评审报告-v1.md,archive/changes/CHANGE-003-web-api/06-专家评审报告-v1.md,37e475f,
changes,CHANGE-003-web-api,archived,.harness/changes/CHANGE-003-web-api/07-单元测试报告-v1.md,archive/changes/CHANGE-003-web-api/07-单元测试报告-v1.md,37e475f,
changes,CHANGE-003-web-api,archived,.harness/changes/CHANGE-003-web-api/08-集成测试报告-v1.md,archive/changes/CHANGE-003-web-api/08-集成测试报告-v1.md,37e475f,
changes,CHANGE-003-web-api,archived,.harness/changes/CHANGE-003-web-api/09-CI验证报告-v1.md,archive/changes/CHANGE-003-web-api/09-CI验证报告-v1.md,37e475f,
changes,CHANGE-003-web-api,archived,.harness/changes/CHANGE-003-web-api/10-部署验证报告-v1.md,archive/changes/CHANGE-003-web-api/10-部署验证报告-v1.md,37e475f,
changes,CHANGE-003-web-api,archived,.harness/changes/CHANGE-003-web-api/summary.md,archive/changes/CHANGE-003-web-api/summary.md,f950c4e,
changes,CHANGE-004-数据库持久化,archived,.harness/changes/CHANGE-004-数据库持久化/01-需求分析.md,archive/changes/CHANGE-004-数据库持久化/01-需求分析.md,37e475f,
changes,CHANGE-004-数据库持久化,archived,.harness/changes/CHANGE-004-数据库持久化/02-技术设计.md,archive/changes/CHANGE-004-数据库持久化/02-技术设计.md,37e475f,
changes,CHANGE-004-数据库持久化,archived,.harness/changes/CHANGE-004-数据库持久化/03-编码计划.md,archive/changes/CHANGE-004-数据库持久化/03-编码计划.md,37e475f,
changes,CHANGE-004-数据库持久化,archived,.harness/changes/CHANGE-004-数据库持久化/04-编码报告-v1.md,archive/changes/CHANGE-004-数据库持久化/04-编码报告-v1.md,37e475f,
changes,CHANGE-004-数据库持久化,archived,.harness/changes/CHANGE-004-数据库持久化/05-代码检查报告-v1.md,archive/changes/CHANGE-004-数据库持久化/05-代码检查报告-v1.md,37e475f,
changes,CHANGE-004-数据库持久化,archived,.harness/changes/CHANGE-004-数据库持久化/06-专家评审报告-v1.md,archive/changes/CHANGE-004-数据库持久化/06-专家评审报告-v1.md,37e475f,
changes,CHANGE-004-数据库持久化,archived,.harness/changes/CHANGE-004-数据库持久化/07-单元测试报告-v1.md,archive/changes/CHANGE-004-数据库持久化/07-单元测试报告-v1.md,37e475f,
changes,CHANGE-004-数据库持久化,archived,.harness/changes/CHANGE-004-数据库持久化/08-集成测试报告-v1.md,archive/changes/CHANGE-004-数据库持久化/08-集成测试报告-v1.md,37e475f,
changes,CHANGE-004-数据库持久化,archived,.harness/changes/CHANGE-004-数据库持久化/09-CI验证报告-v1.md,archive/changes/CHANGE-004-数据库持久化/09-CI验证报告-v1.md,37e475f,
changes,CHANGE-004-数据库持久化,archived,.harness/changes/CHANGE-004-数据库持久化/10-部署验证报告-v1.md,archive/changes/CHANGE-004-数据库持久化/10-部署验证报告-v1.md,37e475f,
changes,CHANGE-004-数据库持久化,archived,.harness/changes/CHANGE-004-数据库持久化/summary.md,archive/changes/CHANGE-004-数据库持久化/summary.md,f950c4e,
